"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 23 14:01:18 CST 2024","Mon Dec 23 14:01:18 CST 2024","438","testcase.1_login","test_login_run","TestCreat","","","获取用户信息","获取用户信息"
"passed","Mon Dec 23 14:01:18 CST 2024","Mon Dec 23 14:01:18 CST 2024","444","testcase.2_file","test_file_run","TestCreat","","","获取上传url","获取上传url"
"passed","Mon Dec 23 14:01:17 CST 2024","Mon Dec 23 14:01:17 CST 2024","120","testcase.1_login","test_login_run","TestCreat","","","获取encrypt-key用于登录","获取encrypt-key用于登录"
"passed","Mon Dec 23 14:01:18 CST 2024","Mon Dec 23 14:01:19 CST 2024","416","testcase.2_file","test_file_run","TestCreat","","","上传文件","上传文件"
"passed","Mon Dec 23 14:01:17 CST 2024","Mon Dec 23 14:01:18 CST 2024","117","testcase.1_login","test_login_run","TestCreat","","","登录","登录"
"passed","Mon Dec 23 14:01:19 CST 2024","Mon Dec 23 14:01:20 CST 2024","1194","testcase.2_file","test_file_run","TestCreat","","","更新文件信息","更新文件信息"
